nachpflanzen	7.2257469143	20447
umbrechen	7.2236115051	165750
durchschalten	7.1518039442	40932
abzupfen	7.1080321674	4151
nachschreiben	7.0764135941	673686
ausweinen	7.0379525343	28995
umstecken	6.9737380931	208711
anbleiben	6.9224096386	1593676
durchwinken	6.7947850143	20030
angurten	6.6989249628	44
zuspringen	6.5979744424	80525
unterhaken	6.5860404577	2207
umtreten	6.4610872295	559817
anleuchten	6.368378645	32055
unterjubeln	6.156530904	8332
durchatmen	5.9918040742	21131
durchdeklinieren	5.6431707191	346
aufnehmen	3.9999302168	1857909
einstellen	3.9998428685	2073900
umbauen	3.9992006075	264579
ausrüsten	3.9989949778	16399
aufklären	3.9985729547	94617
aussagen	3.9985144472	1862945
einfallen	3.9983551449	754613
abwickeln	3.9982086084	13241
absagen	3.9981795783	1862945
umkommen	3.9968926807	3917099
aussterben	3.9968856011	271905
zulegen	3.9966062448	668729
anhängen	3.9965746516	254727
auslassen	3.9953362793	2328797
aufleben	3.994605423	760422
aufwarten	3.9941543698	254086
anreichern	3.9927367253	2780
aufrüsten	3.9914331268	16399
umdeuten	3.988219872	79975
abkommandieren	3.9869017937	2899
aufbessern	3.9864915406	17815
anklingen	3.9857761531	128944
abnutzen	3.9840843312	482053
zuschicken	3.9836060343	236883
umformen	3.981851234	26448
zusteuern	3.9815251621	68053
anfassen	3.9814739972	143984
aufbahren	3.9771932105	55
umarbeiten	3.9744175888	730968
nachordnen	3.9737430485	56735
zustreben	3.9722961548	46902
zuwachsen	3.9716083555	232266
ausbuchen	3.9702748153	43220
nachtragen	3.9669646474	703389
durchstehen	3.9646560503	2702523
nachliefern	3.9592970187	227281
aufhäufen	3.9571716943	17710
umnutzen	3.9556957009	482053
zuliefern	3.9548286629	227281
abfliegen	3.9541186557	135587
abmachen	3.9522823855	4148997
auffressen	3.9463851696	24736
abkapseln	3.9410765095	881
einrüsten	3.9348163492	16399
einzwängen	3.9311378114	5582
anfärben	3.9284704916	16215
nachfahren	3.926515754	504590
unterkriegen	3.9161665294	80853
umwenden	3.9156110652	280973
aufstufen	3.9082078039	6364
aufsplittern	3.9081764938	657
umlackieren	3.9043123409	2862
ausmauern	3.8971077338	2090
aufstapeln	3.897082191	6847
umtreiben	3.8963244334	180102
aufbrauchen	3.8941707398	816655
andrehen	3.8940512736	188477
einprogrammieren	3.8876824761	13508
zubinden	3.8645001681	112803
absammeln	3.8539543336	152152
aufscheuchen	3.8527739834	1869
nachsynchronisieren	3.8432413586	3618
durchmarschieren	3.8386119847	24306
auswürfeln	3.824889623	8080
zukleben	3.8084601424	27470
durchrutschen	3.7992838561	24786
aufsatteln	3.7961000193	1784
aufspritzen	3.7887280789	17174
nachfordern	3.7713859617	482171
anmoderieren	3.7699501491	11546
nachfließen	3.753345386	85362
nachzüchten	3.7481354031	15165
ausstecken	3.7460568535	208711
zunicken	3.7408131342	13644
auslernen	3.7382256123	453110
umhören	3.7060841386	436720
ankratzen	3.702493025	11337
nachhallen	3.6943171289	4331
zuzahlen	3.6833994151	233091
durchseihen	3.6616112425	336
zufassen	3.6011061134	143984
durchplanen	3.598719317	204907
durchkauen	3.5569262995	4824
durchkriechen	3.4522339266	9579
durchprügeln	3.2508902873	9265
unterkriechen	2.9123264555	9579
